Compound,predicted_stable_unstable,#_Atoms,Lattice Parameter (Angstroms),Density (g/cm^3),Vol/Atom,Mass,Total_Energy (eV/atom),Magnetic_Moment,Band_Gap (eV),Band Gap Type,Volume (Angstroms^3),Bulk Modulus (Gpa),avg_CN,DOSmass_CB,Nb_CB,bmass_CB,mobility_n,DOSmass_VB,Nb_VB,bmass_VB,mobility_p,gamma,kappa_L_ac,kappa_L_oc,kappa_L,beta_n,beta_p,dos_mass_tol
AcNiAs,stable,3,6.583,8.395,23.776,199.605,-5.437,0,0.145,PBE,71.328,76.206,5.333,0.076,3,0.036,1321.419,9.703,14,1.67,4.236,1.255,4.973,0.902,5.876,34.134,16.016,0.4
AcNiP,stable,3,6.462,7.794,22.49,175.279,-5.61,0,0.615,PBE,67.471,82.504,5.333,2.717,3,1.306,6.633,9.032,8,2.258,2.918,1.255,6.257,0.993,7.25,3.49,6.702,0.4
AcNiSb,stable,3,6.826,8.508,26.507,225.531,-5.265,0,0.391,PBE,79.522,69.803,5.333,2.387,3,1.148,6.814,1.684,14,0.29,53.657,1.255,4.33,0.827,5.157,4.487,47.799,0.4
MoCoAl,unstable,3,5.772,6.281,16.028,100.67,-6.745,0,0.306,MBJ,48.083,141.056,5.333,1.961,9,0.453,55.478,1.08,14,0.186,211.221,1.255,21.333,1.62,22.953,10.671,28.335,0.4
CrCoAl,unstable,3,5.461,5.624,13.572,76.335,-6.722,0,0.545,MBJ,40.717,162.61,5.333,2.859,3,1.374,12.112,2.786,14,0.48,58.757,1.255,29.946,1.943,31.889,1.517,13.314,0.4
CrCoB,unstable,3,4.984,6.532,10.317,67.385,-7.594,0,0.84,MBJ,30.95,239.975,5.333,0.765,3,0.368,129.21,3.145,8,0.786,41.312,1.255,49.298,2.401,51.699,3.046,5.148,0.4
CrCoGa,unstable,3,5.457,7.382,13.545,99.993,-6.409,0,0.622,MBJ,40.636,168.191,5.333,1.706,3,0.82,27.171,2.492,14,0.429,71.815,1.255,23.147,1.726,24.873,2.742,18.875,0.4
CrCoIn,unstable,3,5.752,7.877,15.863,124.954,-5.889,0,0.699,MBJ,47.589,139.333,5.333,6.682,6,2.024,5.809,2.853,14,0.491,48.575,1.255,15.65,1.443,17.093,3.845,20.981,0.4
CrFeC,unstable,3,4.895,6.788,9.774,66.34,-8.352,0,0.563,MBJ,29.321,270.387,5.333,2.153,3,1.035,30.82,4.379,8,1.095,28.327,1.255,59.129,2.546,61.675,1.546,3.986,0.4
CrFeGe,unstable,3,5.45,7.404,13.493,99.899,-7.431,0,0.423,MBJ,40.479,190.022,5.333,2.168,3,1.042,21.423,9.713,8,2.428,6.026,1.255,30.154,1.834,31.988,2.086,3.349,0.4
CrFeSi,unstable,3,5.339,5.932,12.683,75.237,-7.95,0,0.368,MBJ,38.048,207.641,5.333,4.218,3,2.028,8.628,6.914,8,1.729,10.964,1.255,46.132,2.187,48.319,1.012,2.971,0.4
CrFeSn,unstable,3,5.743,7.945,15.783,125.399,-6.897,0,0.466,MBJ,47.349,156.398,5.333,1.269,3,0.61,39.375,9.504,14,1.636,8.967,1.255,19.943,1.524,21.467,3.528,9.109,0.4
CrIrAl,unstable,3,5.76,9.426,15.924,150.11,-7.559,0,0.351,MBJ,47.773,179.152,5.333,3.658,3,1.759,9.217,4.885,14,0.841,27.872,1.255,22.018,1.493,23.511,1.955,14.202,0.4
CrIrB,unstable,3,5.376,10.901,12.95,141.159,-8.046,0,0.528,MBJ,38.849,237.306,5.333,4.395,3,2.113,9.271,3.366,8,0.841,36.896,1.255,29.987,1.713,31.7,1.72,7.971,0.4
CrIrGa,unstable,3,5.775,10.826,16.051,173.768,-7.143,0,0.361,MBJ,48.153,182.999,5.333,2.505,3,1.204,16.617,4.707,14,0.81,30.109,1.255,19.604,1.405,21.008,2.805,16.603,0.4
CrIrIn,unstable,3,6.042,10.814,18.376,198.728,-6.651,0,0.476,MBJ,55.129,154.748,5.333,4.329,3,2.081,6.184,4.323,14,0.744,28.927,1.255,14.808,1.235,16.043,2.237,19.349,0.4
CrIrTl,unstable,3,6.125,12.966,19.151,248.304,-6.136,0,0.584,MBJ,57.452,392.268,5.333,2.464,3,1.185,36.501,2.488,17,0.376,203.945,1.255,95.993,1.771,97.764,1.305,82.541,0.4
CrOsGe,unstable,3,5.767,10.905,15.982,174.282,-8.247,0,0.354,MBJ,47.945,202.465,5.333,4.827,3,2.321,6.872,4.815,8,1.204,18.398,1.255,24.242,1.474,25.716,1.71,6.763,0.4
